hand,sb_15_rfi,bn_15_rfi,co_15_rfi,hj_15_rfi,lj_15_rfi,utg2_15_rfi,utg1_15_rfi,utg0_15_rfi,hand,sb_25_rfi,bn_25_rfi,co_25_rfi,hj_25_rfi,lj_25_rfi,utg2_25_rfi,utg1_25_rfi,utg0_25_rfi,hand,sb_40_rfi,bn_40_rfi,co_40_rfi,hj_40_rfi,lj_40_rfi,utg2_40_rfi,utg1_40_rfi,utg0_40_rfi,hand,sb_60_rfi,bn_60_rfi,co_60_rfi,hj_60_rfi,lj_60_rfi,utg2_60_rfi,utg1_60_rfi,utg0_60_rfi
Q9s,Limp,All-in,30% All-in 70% Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Q9s,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Q9s,,,,,,,,,Q9s,,,,,,,,
Q8s,Limp,Raise 2x,Raise 2x,Raise 2x,50% Raise 2x 50% Fold,Fold,Fold,Fold,Q8s,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,60% Raise 2x 40% Fold,Fold,Q8s,,,,,,,,,Q8s,,,,,,,,
Q7s,Limp,Raise 2x,>90% Raise 2x <10% Fold,Fold,Fold,Fold,Fold,Fold,Q7s,10% Raise 3.3x 90% Limp,Raise 2x,Raise 2x,Raise 2x,Fold,Fold,Fold,Fold,Q7s,,,,,,,,,Q7s,,,,,,,,
Q6s,50% All-in 50% limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,Q6s,10% Raise 3.3x 90% Limp,Raise 2x,Raise 2x,Raise 2x,Fold,Fold,Fold,Fold,Q6s,,,,,,,,,Q6s,,,,,,,,
Q5s,50% All-in 50% limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,Q5s,20% Raise 3.3x 80% Limp,Raise 2x,Raise 2x,Fold,Fold,Fold,Fold,Fold,Q5s,,,,,,,,,Q5s,,,,,,,,
Q4s,Limp,70% Raise 2x 30% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q4s,40% Raise 3.3x 60% Limp,Raise 2x,50% Raise 2x 50% Fold,Fold,Fold,Fold,Fold,Fold,Q4s,,,,,,,,,Q4s,,,,,,,,
Q3s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q3s,40% Raise 3.3x 60% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,Q3s,,,,,,,,,Q3s,,,,,,,,
Q2s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q2s,40% Raise 3.3x 60% Limp,40% Raise 2x 60% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q2s,,,,,,,,,Q2s,,,,,,,,
AJo,All-in,All-in,>90% All-in <10% Raise 2x,80% All-in 20% Raise 2x,70% All-in 30% Raise 2x,50% All-in 50% Raise 2x,10% All-in 90% Raise 2x,Raise 2x,AJo,30% Raise 3.3x 70% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,AJo,,,,,,,,,AJo,,,,,,,,
KJo,70% All-in 30% Limp,All-in,80% All-in 20% Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,60% Raise 2x 40% Fold,KJo,40% Raise 3.3x 60% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,KJo,,,,,,,,,KJo,,,,,,,,
QJo,60% All-in 40% limp,All-in,40% All-in 60% Raise 2x,Raise 2x,Raise 2x,Raise 2x,40% Raise 2x 60% Fold,10% Raise 2x 90% Fold,QJo,50% Raise 3.3x 50% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,60% Raise 2x 40% Fold,Fold,QJo,,,,,,,,,QJo,,,,,,,,
JJ,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,JJ,80% Raise 3.3x 20% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,JJ,,,,,,,,,JJ,,,,,,,,
JTs,Limp,All-in,All-in,All-in,All-in,50% All-in 50% Raise 2x,Raise 2x,Raise 2x,JTs,10% Raise 3.3x 90% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,JTs,,,,,,,,,JTs,,,,,,,,
J9s,Limp,All-in,All-in,Raise 2x,Raise 2x,40% Raise 2x 60% Fold,30% Raise 2x 70% Fold,20% Raise 2x 80% Fold,J9s,<10% Raise 3.3x >90% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,J9s,,,,,,,,,J9s,,,,,,,,
J8s,40% All-in 60% Limp,Raise 2x,Raise 2x,Fold,Fold,Fold,Fold,Fold,J8s,<10% Raise 3.3x >90% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,80% Raise 2x 20% Fold,Fold,Fold,J8s,,,,,,,,,J8s,,,,,,,,
J7s,60% All-in 40% limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,J7s,20% Raise 3.3x 80% Limp,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,Fold,Fold,Fold,Fold,J7s,,,,,,,,,J7s,,,,,,,,
J6s,30% All-in 70% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,J6s,40% Raise 3.3x 60% Limp,Raise 2x,80% Raise 2x 20% Fold,Fold,Fold,Fold,Fold,Fold,J6s,,,,,,,,,J6s,,,,,,,,
